I am a big one or a little one ; am I a big one or a little one ?
I am a bunny ; am I a bunny ?
I am being silly ; am I being silly ?
I am bothering you ; am I bothering you ?
I am boy ; am I boy ?
I am Cromer ; am I Cromer ?
I am drinking ; am I drinking ?
I am going To find poopies in there ; am I going To find poopies in there ?
I am going to go home now ; am I going to go home now ?
I am hiding ; am I hiding ?
I am in your other kitchen ; am I in your other kitchen ?
I am in your way ; am I in your way ?
I am in your way to to that box ; am I in your way to to that box ?
I am right here ; am I right here ?
I am right here ; am I right here ?
I am scared ; am I scared ?
I am scared ; am I scared ?
I am sitting on it ; am I sitting on it ?
I am sitting on the microphone cord ; am I sitting on the microphone cord ?
I am spilling your beans ; am I spilling your beans ?
I am supposed to exercise ; am I supposed to exercise ?
I am teasing you ; am I teasing you ?
I am teasing you a lot ; am I teasing you a lot ?
I am that tall ; am I that tall ?
I am that tall ; am I that tall ?
I am the mother ; am I the mother ?
I am tickling you ; am I tickling you ?
I am too heavy ; am I too heavy ?
I am too old ; am I too old ?
I am too old ; am I too old ?
all the pieces are in there ; are all the pieces in there ?
any children are going to visit you ; are any children going to visit you ?
both Mommies are wearing red dresses ; are both Mommies wearing red dresses ?
cows are usually pink ; are cows usually pink ?
her eyes are open or shut ; are her eyes open or shut ?
her feet are cold ; are her feet cold ?
her hands are cold ; are her hands cold ?
hopperoos are Indians too ; are hopperoos Indians too ?
most children are shy when you pop in like this ; are most children shy when you pop in like this ?
kids are n't funny ; are n't kids funny ?
there are n't any books out there ; are n't there any books out there ?
there are n't some more pieces that go in first ; are n't there some more pieces that go in first ?
there are n't too many animals in there ; are n't there too many animals in there ?
these are n't like the cars that Harvey had ; are n't these like the cars that Harvey had ?
they are n't ; are n't they ?
they are n't ; are n't they ?
they are n't big ; are n't they big ?
they are n't cute ; are n't they cute ?
they are n't cute ; are n't they cute ?
they are n't getting a little bit crowded ; are n't they getting a little bit crowded ?
they are n't good ; are n't they good ?
they are n't great ; are n't they great ?
they are n't in there ; are n't they in there ?
they are n't in there ; are n't they in there ?
they are n't nice ; are n't they nice ?
they are n't nice ; are n't they nice ?
they are n't pretty ; are n't they pretty ?
they are n't pretty ; are n't they pretty ?
they are n't pretty ; are n't they pretty ?
they are n't pretty ; are n't they pretty ?
they are n't pretty ; are n't they pretty ?
they are n't sour ; are n't they sour ?
they are n't toys ; are n't they toys ?
we are n't going to build it up here on the grass ; are n't we going to build it up here on the grass ?
we are n't having any meat ; are n't we having any meat ?
ya are n't ; are n't ya ?
ya are n't glad these days are over ; are n't ya glad these days are over ?
ya are n't going ta put a roll in it ; are n't ya going ta put a roll in it ?
ya are n't going to talk to somebody ; are n't ya going to talk to somebody ?
ya are n't going to talk today ; are n't ya going to talk today ?
you are n't ; are n't you ?
you are n't ; are n't you ?
you are n't ; are n't you ?
you are n't ; are n't you ?
cha are n't ; are n't you ?
you are n't ashamed having Ursula pull you in the wagon ; are n't you ashamed having Ursula pull you in the wagon ?
you are n't ashamed having Ursula pull you in the wagon ; are n't you ashamed having Ursula pull you in the wagon ?
you are n't cold ; are n't you cold ?
you are n't cold ; are n't you cold ?
you are n't going To ask her how she is ; are n't you going To ask her how she is ?
you are n't going To ask Mummy how she is ; are n't you going To ask Mummy how she is ?
you are n't going to drink your juice first ; are n't you going to drink your juice first ?
you are n't going to eat your apple ; are n't you going to eat your apple ?
you are n't going to finish the bus ; are n't you going to finish the bus ?
you are n't going to give him some ; are n't you going to give him some ?
you are n't going To go to sleep ; are n't you going To go to sleep ?
you are n't going To go to sleep ; are n't you going To go to sleep ?
you are n't going to keep them on ; are n't you going to keep them on ?
you are n't going To say anything except huh ; are n't you going To say anything except huh ?
you are n't going To sing ; are n't you going To sing ?
you are n't going To take them for a ride ; are n't you going To take them for a ride ?
you are n't going To talk today ; are n't you going To talk today ?
you are n't good looking ; are n't you good looking ?
you are n't hungry ; are n't you hungry ?
cha are n't hungry ; are n't you hungry ?
you are n't letting me look in it the wrong way ; are n't you letting me look in it the wrong way ?
you are n't lucky you have some crayons ; are n't you lucky you have some crayons ?
you are n't out ; are n't you out ?
you are n't sick of those ; are n't you sick of those ?
you are n't sleeping ; are n't you sleeping ?
you are n't sleeping ; are n't you sleeping ?
you are n't smart ; are n't you smart ?
you are n't staying through Sunday ; are n't you staying through Sunday ?
you are n't talking today ; are n't you talking today ?
you are n't talking today ; are n't you talking today ?
you are n't ticklish there ; are n't you ticklish there ?
you are n't tired ; are n't you tired ?
cha are n't tired today morning ; are n't you tired today morning ?
other people are going to go in the sailboat too ; are other people going to go in the sailboat too ?
peas are vegetables ; are peas vegetables ?
people are going To go on the train to take care of the animals ; are people going To go on the train to take care of the animals ?
the animals are all on top of each other ; are the animals all on top of each other ?
the animals are eating the soap ; are the animals eating the soap ?
the cars are going To stop ; are the cars going To stop ?
the cookies with holes are all gone ; are the cookies with holes all gone ?
the cups are hiding ; are the cups hiding ?
the dress up things are ; are the dress up things ?
the horses are eating ; are the horses eating ?
the lily pads are on the beach or in the water ; are the lily pads on the beach or in the water ?
the ostriches are big birds or little birds ; are the ostriches big birds or little birds ?
the people are going To try to run away ; are the people going To try to run away ?
there are a lot or a little of mashed potatoes ; are there a lot or a little of mashed potatoes ?
there are any birds that are not nice ; are there any birds that are not nice ?
there are any birds that are not nice ; are there any birds that are not nice ?
there are any cats ; are there any cats ?
there are any children ; are there any children ?
there are any eggs in the house already ; are there any eggs in the house already ?
there are any goats ; are there any goats ?
there are any in the kitchen ; are there any in the kitchen ?
there are any monsters in there ; are there any monsters in there ?
there are any more ; are there any more ?
there are any more animals ; are there any more animals ?
there are any more big ones ; are there any more big ones ?
there are any more left ; are there any more left ?
there are any porcupines in the picture ; are there any porcupines in the picture ?
there are any pots ; are there any pots ?
there are any propellers ; are there any propellers ?
there are any propellers ; are there any propellers ?
there are any sharks in our house ; are there any sharks in our house ?
there are any sheep ; are there any sheep ?
there are any sheep in that book ; are there any sheep in that book ?
there are different kinds of Fizzie ; are there different kinds of Fizzie ?
there are letters in here ; are there letters in here ?
there are little books ; are there little books ?
there are lots of peas ; are there lots of peas ?
there are many horses here ; are there many horses here ?
there are many kitties ; are there many kitties ?
there are many monkeys hanging there ; are there many monkeys hanging there ?
there are more ; are there more ?
there are more lions ; are there more lions ?
there are none out here ; are there none out here ?
there are people in the bus ; are there people in the bus ?
there are people in the bus ; are there people in the bus ?
there are snowmen in your book about the seasons ; are there snowmen in your book about the seasons ?
there are some books in there ; are there some books in there ?
there are spots over there ; are there spots over there ?
there are three hats on mommy 's head ; are there three hats on mommy 's head ?
there are three little chairs in there ; are there three little chairs in there ?
there are two of any other colors ; are there two of any other colors ?
there are two trucks in there ; are there two trucks in there ?
these big kitty cats or little kitty cats are ; are these big kitty cats or little kitty cats ?
these are big or tiny ; are these big or tiny ?
these children are playing with the carriage ; are these children playing with the carriage ?
these are doors ; are these doors ?
these are for our muffins ; are these for our muffins ?
these are just way too big ; are these just way too big ?
these little pennies are ; are these little pennies ?
these are new cups ; are these new cups ?
these are pictures that you drew ; are these pictures that you drew ?
these seals are sleeping ; are these seals sleeping ?
these slippers are soft or hard ; are these slippers soft or hard ?
these are the baby 's toys ; are these the baby 's toys ?
these are the bottles of syrup ; are these the bottles of syrup ?
these are the pajamas Mummy left ; are these the pajamas Mummy left ?
these are their cages ; are these their cages ?
these are two separate trains ; are these two separate trains ?
they are ; are they ?
they are a bicycle ; are they a bicycle ?
they are all going around ; are they all going around ?
they are all gone ; are they all gone ?
they all are named Joe ; are they all named Joe ?
they all are picked up ; are they all picked up ?
they all are the same color ; are they all the same color ?
they all are the same color of orange ; are they all the same color of orange ?
they all are there ; are they all there ?
they are alright ; are they alright ?
they are baby ones or mommy ones ; are they baby ones or mommy ones ?
they are Becca 's ; are they Becca 's ?
they are behind your hair ; are they behind your hair ?
they are beside the eyes ; are they beside the eyes ?
they are better ; are they better ?
they are better ; are they better ?
they are big and tall ; are they big and tall ?
they are boots ; are they boots ?
they both are blue ; are they both blue ?
they both are the same so you can put a roof on ; are they both the same so you can put a roof on ?
they are boys or girls ; are they boys or girls ?
they are butterfingers ; are they butterfingers ?
they are buying something for Madeline ; are they buying something for Madeline ?
they are clean yet ; are they clean yet ?
they are cold ; are they cold ?
they are cooking their food on a stove ; are they cooking their food on a stove ?
they are covering up something ; are they covering up something ?
they are covering your eyes up ; are they covering your eyes up ?
they are crossing a river ; are they crossing a river ?
they are dancing ; are they dancing ?
they are different ; are they different ?
they are different from any other tigers ; are they different from any other tigers ?
they are done ; are they done ?
they are eating ; are they eating ?
they are eating ; are they eating ?
they are eating pie ; are they eating pie ?
they are fighting ; are they fighting ?
they are fighting or hugging ; are they fighting or hugging ?
they are finished eating everything that they 're going To have ; are they finished eating everything that they 're going To have ?
they are for Catherine ; are they for Catherine ?
they are friends ; are they friends ?
they are friends ; are they friends ?
they are fruits ; are they fruits ?
they are full ; are they full ?
they are funny ; are they funny ?
they are getting all clean or all dirty ; are they getting all clean or all dirty ?
they are getting heavy ; are they getting heavy ?
they are getting in your eyes ; are they getting in your eyes ?
they are giddyingup ; are they giddyingup ?
they are going somewhere ; are they going somewhere ?
they are going to fix the car ; are they going to fix the car ?
they are going to go by the railroad tracks and see the train ; are they going to go by the railroad tracks and see the train ?
they are going To go for a ride ; are they going To go for a ride ?
they are going to go to a restaurant ; are they going to go to a restaurant ?
they are going To have dinner ; are they going To have dinner ?
they are going To have syrup on their pancakes ; are they going To have syrup on their pancakes ?
they are going To hunt for food too ; are they going To hunt for food too ?
they are going To lie on the old curtain ; are they going To lie on the old curtain ?
they are going To play at the edge of the water ; are they going To play at the edge of the water ?
they are going to ride together ; are they going to ride together ?
they are going To run away ; are they going To run away ?
they are going to swim ; are they going to swim ?
they are good ; are they good ?
they are good ; are they good ?
they are good ; are they good ?
they are good friends ; are they good friends ?
they are hanging by their tails ; are they hanging by their tails ?
they are happy ; are they happy ?
they are here ; are they here ?
they are hiding ; are they hiding ?
they are hot ; are they hot ?
they are in a nest ; are they in a nest ?
they are in cousin George 's house ; are they in cousin George 's house ?
they are in front or behind the church ; are they in front or behind the church ?
they are in front or in back of the house ; are they in front or in back of the house ?
they are in his bedroom ; are they in his bedroom ?
they are in the little bag ; are they in the little bag ?
they are in the water ; are they in the water ?
they are in their little beds taking a nap ; are they in their little beds taking a nap ?
they are in their parking spaces ; are they in their parking spaces ?
they are inside ; are they inside ?
they are jumping rope ; are they jumping rope ?
they are just like the bus ; are they just like the bus ?
they are just the same ; are they just the same ?
they are kissing ; are they kissing ?
they are kissing ; are they kissing ?
they are kissing them ; are they kissing them ?
they are like fur ; are they like fur ?
they are like stickers ; are they like stickers ?
they are making a pyramid ; are they making a pyramid ?
they are making you mad ; are they making you mad ?
they are on a bicycle ; are they on a bicycle ?
they are on his nose ; are they on his nose ?
they are on the table ; are they on the table ?
they are over there ; are they over there ?
they are people ; are they people ?
they are pink and yellow ; are they pink and yellow ?
they are pointed ; are they pointed ?
they are quiet ; are they quiet ?
they are quiet now ; are they quiet now ?
they are ready ; are they ready ?
they are real bananas ; are they real bananas ?
they are red ; are they red ?
they are reindeers or reindeer ; are they reindeers or reindeer ?
they are scared ; are they scared ?
they are sitting on someone ; are they sitting on someone ?
they are sleeping ; are they sleeping ?
they are sleeping in the barn ; are they sleeping in the barn ?
they are sleeping on a bed or on a chair ; are they sleeping on a bed or on a chair ?
they are soft ; are they soft ?
they are standing up ; are they standing up ?
they are sticking out their tongues ; are they sticking out their tongues ?
they are still cooking ; are they still cooking ?
they are still there ; are they still there ?
they are still there ; are they still there ?
they are stuck ; are they stuck ?
they are sweet or sour ; are they sweet or sour ?
they are swimming in the water ; are they swimming in the water ?
they are swimming or flying ; are they swimming or flying ?
they are swimming too ; are they swimming too ?
they are taking a nap ; are they taking a nap ?
they are talking about halloween ; are they talking about halloween ?
they are telling you a story ; are they telling you a story ?
they are telling you a story ; are they telling you a story ?
they are the same ; are they the same ?
they are the same ; are they the same ?
they are the same thing ; are they the same thing ?
they are touching their feet ; are they touching their feet ?
they are trucks ; are they trucks ?
they are turning ; are they turning ?
they are two trains or just one train ; are they two trains or just one train ?
they are using something to build it ; are they using something to build it ?
they are working on the motor ; are they working on the motor ?
they are your bead ; are they your bead ?
they are your beads ; are they your beads ?
they are your favorite ones ; are they your favorite ones ?
they are yummy ; are they yummy ?
those are all the animals on that picture ; are those all the animals on that picture ?
those are animal crackers ; are those animal crackers ?
those are apple eyes ; are those apple eyes ?
those are blue ; are those blue ?
those cars are ; are those cars ?
those are comfortable ; are those comfortable ?
those are cousins or friends ; are those cousins or friends ?
those are different ; are those different ?
those are ducks ; are those ducks ?
those eyes are ; are those eyes ?
those are Flip 's friends ; are those Flip 's friends ?
those are for Mr Ears ; are those for Mr Ears ?
those are for you ; are those for you ?
those are Fruit_loops or something like that ; are those Fruit_loops or something like that ?
those are geese ; are those geese ?
those are good ; are those good ?
those are good cereals ; are those good cereals ?
those guys are silly ; are those guys silly ?
those are her bangs ; are those her bangs ?
those are her feet ; are those her feet ?
those are letters or numbers ; are those letters or numbers ?
those little pictures are ; are those little pictures ?
those are marbles ; are those marbles ?
those are Mister Ears ' children ; are those Mister Ears ' children ?
those are Mommy 's ears ; are those Mommy 's ears ?
those are paint brushes ; are those paint brushes ?
those are pillows ; are those pillows ?
those are pretty windows ; are those pretty windows ?
those are shoes or sneakers ; are those shoes or sneakers ?
those socks are yummy ; are those socks yummy ?
those are stars ; are those stars ?
those are strong men ; are those strong men ?
those are supposed to have wheels ; are those supposed to have wheels ?
those are the doll 's underpants ; are those the doll 's underpants ?
those are the letters ; are those the letters ?
those are the right wheels ; are those the right wheels ?
those are two duck ; are those two duck ?
those two are red ; are those two red ?
those are your birthday cards ; are those your birthday cards ?
those are your bouillon cubes ; are those your bouillon cubes ?
those are your cars ; are those your cars ?
those are your checkers ; are those your checkers ?
those are your red lips ; are those your red lips ?
those are your slippers ; are those your slippers ?
those are your tapshoes ; are those your tapshoes ?
those are yours ; are those yours ?
those are yummy ; are those yummy ?
we are ; are we ?
we all are being silly ; are we all being silly ?
we are at Nina 's house or at Ellie 's house ; are we at Nina 's house or at Ellie 's house ?
we are going on a train or an airplane ; are we going on a train or an airplane ?
we are going out ; are we going out ?
we are going to be making cookies soon ; are we going to be making cookies soon ?
we are going To build with those ; are we going To build with those ?
we are going to go get Daddy later ; are we going to go get Daddy later ?
we are going To go to Maggie 's house today ; are we going To go to Maggie 's house today ?
we are going to have it in here ; are we going to have it in here ?
we are going to put her in the house ; are we going to put her in the house ?
we are going To take off these pants ; are we going To take off these pants ?
we are in the nursery ; are we in the nursery ?
we are pretending ; are we pretending ?
we are pretending beach ; are we pretending beach ?
we are supposed to guess who said something ; are we supposed to guess who said something ?
we are taping your voice for Courtney ; are we taping your voice for Courtney ?
ya are ; are ya ?
ya are missing the f ; are ya missing the f ?
ya are still tired ; are ya still tired ?
ya are taking her with ya ; are ya taking her with ya ?
ya are tired ; are ya tired ?
ya are writing down the address ; are ya writing down the address ?
you are ; are you ?
you are ; are you ?
you are ; are you ?
you are a baby dragon or a papa dragon ; are you a baby dragon or a papa dragon ?
you are a big girl ; are you a big girl ?
you are a big girl ; are you a big girl ?
you are a big girl now ; are you a big girl now ?
you are a boat or an airplane ; are you a boat or an airplane ?
you are a boxer ; are you a boxer ?
you are a boy ; are you a boy ?
you are a boy ; are you a boy ?
you are a boy or a girl ; are you a boy or a girl ?
you are a busy bulldozer ; are you a busy bulldozer ?
you are a busy bulldozer ; are you a busy bulldozer ?
you are a carpenter ; are you a carpenter ?
you are a daughter  or a son ; are you a daughter  or a son ?
you are a firetruck ; are you a firetruck ?
you are a girl ; are you a girl ?
you are a good girl ; are you a good girl ?
you are a good girl ; are you a good girl ?
you are a good girl ; are you a good girl ?
you are a graduate student ; are you a graduate student ?
you are a happy fellow this morning ; are you a happy fellow this morning ?
you are a hundred ; are you a hundred ?
you are a hungry boy ; are you a hungry boy ?
you are a little fussy ; are you a little fussy ?
you are a little girl ; are you a little girl ?
you are a little girl or a little boy ; are you a little girl or a little boy ?
you are a little guy ; are you a little guy ?
you are a little sad boy ; are you a little sad boy ?
you are a monkey or a little girl ; are you a monkey or a little girl ?
you are a mountain ; are you a mountain ?
you are a Santa 's little helper ; are you a Santa 's little helper ?
you are a sleepy ; are you a sleepy ?
you are a sleepy fellow ; are you a sleepy fellow ?
you are a smart fellow ; are you a smart fellow ?
you are a smart fellow ; are you a smart fellow ?
you are a smart little girl ; are you a smart little girl ?
you are a sweaty boy ; are you a sweaty boy ?
you are a Texaco star ; are you a Texaco star ?
you are a ticklish little fellow ; are you a ticklish little fellow ?
you are a witch ; are you a witch ?
you are able to make it work ; are you able to make it work ?
you are about ready to have your lunch ; are you about ready to have your lunch ?
you are adjusting the crib ; are you adjusting the crib ?
you are all done ; are you all done ?
you are all done ; are you all done ?
you are all done ; are you all done ?
you are all done ; are you all done ?
you are all done ; are you all done ?
you are all done ; are you all done ?
you are all done crying ; are you all done crying ?
you are all done then ; are you all done then ?
you are all done with this puzzle ; are you all done with this puzzle ?
you are all dressed ; are you all dressed ?
you are all finished ; are you all finished ?
you are all finished ; are you all finished ?
you are all finished ; are you all finished ?
you are all finished ; are you all finished ?
you are all finished ; are you all finished ?
you are all finished ; are you all finished ?
you are all finished ; are you all finished ?
you are all finished with that ; are you all finished with that ?
you are all through ; are you all through ?
you are all through crying ; are you all through crying ?
you are all through eating ; are you all through eating ?
you are allowed to drive now ; are you allowed to drive now ?
you are an Indian ; are you an Indian ?
you are angry ; are you angry ?
you are angry at me ; are you angry at me ?
you are anything today ; are you anything today ?
you are as tall as Mommy ; are you as tall as Mommy ?
you are asking him ; are you asking him ?
you are back ; are you back ?
you are balancing the cup on your toes ; are you balancing the cup on your toes ?
you are banging ; are you banging ?
you are banging them together ; are you banging them together ?
you are banging those ; are you banging those ?
you are being a little doggie ; are you being a little doggie ?
you are being careful ; are you being careful ?
you are being good now ; are you being good now ?
you are being stupid today ; are you being stupid today ?
you are being very studious ; are you being very studious ?
you are bending her feet and her knees ; are you bending her feet and her knees ?
you are Bert ; are you Bert ?
you are biting my duck again ; are you biting my duck again ?
you are biting that dog ; are you biting that dog ?
you are biting the horse too ; are you biting the horse too ?
you are blowing bubbles ; are you blowing bubbles ?
you are bored ; are you bored ?
you are bringing the animals up there ; are you bringing the animals up there ?
you are brushing her hair ; are you brushing her hair ?
you are building a road ; are you building a road ?
you are building a sand castle ; are you building a sand castle ?
